session_num,tr_loss_ave,tr_loss_std,tr_mse_ave,tr_mse_std,tr_mae_ave,tr_mae_std,tr_rmse_ave,tr_rmse_std,val_loss_ave,val_loss_std,val_mse_ave,val_mse_std,val_mae_ave,val_mae_std,val_rmse_ave,val_rmse_std,fc_units,lstm_units,epochs,fc_depth,lstm_depth,lr,tr_loss_fold_0,tr_mse_fold_0,tr_mae_fold_0,tr_rmse_fold_0
1,0.026367336,0,0.026367336,0,0.100828039,0,0.160437105,0,0,0,0,0,0,0,0,0,120,20,33,2,1,0.001,0.026367336,0.026367336,0.100828039,0.160437105
1,0.025981711,0,0.025981711,0,0.100000092,0,0.159352579,0,0,0,0,0,0,0,0,0,120,20,34,2,1,0.001,0.025981711,0.025981711,0.100000092,0.159352579
1,0.025745845,0,0.025745845,0,0.099350827,0,0.158688016,0,0,0,0,0,0,0,0,0,120,20,35,2,1,0.001,0.025745845,0.025745845,0.099350827,0.158688016
1,0.02575334,0,0.02575334,0,0.098593827,0,0.158365946,0,0,0,0,0,0,0,0,0,120,20,36,2,1,0.001,0.02575334,0.02575334,0.098593827,0.158365946
1,0.025474292,0,0.025474292,0,0.098521045,0,0.157815013,0,0,0,0,0,0,0,0,0,120,20,37,2,1,0.001,0.025474292,0.025474292,0.098521045,0.157815013
1,0.02511806,0,0.025118059,0,0.097365271,0,0.156501241,0,0,0,0,0,0,0,0,0,120,20,38,2,1,0.001,0.02511806,0.025118059,0.097365271,0.156501241
1,0.025184551,0,0.025184551,0,0.09755607,0,0.156904602,0,0,0,0,0,0,0,0,0,120,20,39,2,1,0.001,0.025184551,0.025184551,0.09755607,0.156904602
1,0.02511444,0,0.025114441,0,0.097446276,0,0.15684723,0,0,0,0,0,0,0,0,0,120,20,40,2,1,0.001,0.02511444,0.025114441,0.097446276,0.15684723
1,0.025294248,0,0.025294248,0,0.097182859,0,0.156913218,0,0,0,0,0,0,0,0,0,120,20,41,2,1,0.001,0.025294248,0.025294248,0.097182859,0.156913218
1,0.024554266,0,0.024554266,0,0.096055136,0,0.154833602,0,0,0,0,0,0,0,0,0,120,20,42,2,1,0.001,0.024554266,0.024554266,0.096055136,0.154833602
1,0.024838277,0,0.024838277,0,0.096516112,0,0.155773622,0,0,0,0,0,0,0,0,0,120,20,43,2,1,0.001,0.024838277,0.024838277,0.096516112,0.155773622
1,0.024465865,0,0.024465865,0,0.095615038,0,0.154550274,0,0,0,0,0,0,0,0,0,120,20,44,2,1,0.001,0.024465865,0.024465865,0.095615038,0.154550274
1,0.024115093,0,0.024115094,0,0.09457025,0,0.153561354,0,0,0,0,0,0,0,0,0,120,20,45,2,1,0.001,0.024115093,0.024115094,0.09457025,0.153561354
1,0.024082323,0,0.024082323,0,0.094589284,0,0.153413426,0,0,0,0,0,0,0,0,0,120,20,46,2,1,0.001,0.024082323,0.024082323,0.094589284,0.153413426
1,0.023972037,0,0.023972037,0,0.094307557,0,0.153207462,0,0,0,0,0,0,0,0,0,120,20,47,2,1,0.001,0.023972037,0.023972037,0.094307557,0.153207462
1,0.023778755,0,0.023778755,0,0.094052091,0,0.152422013,0,0,0,0,0,0,0,0,0,120,20,48,2,1,0.001,0.023778755,0.023778755,0.094052091,0.152422013
1,0.023403305,0,0.023403305,0,0.092838585,0,0.151232276,0,0,0,0,0,0,0,0,0,120,20,49,2,1,0.001,0.023403305,0.023403305,0.092838585,0.151232276
1,0.023672271,0,0.023672271,0,0.093328401,0,0.15214611,0,0,0,0,0,0,0,0,0,120,20,50,2,1,0.001,0.023672271,0.023672271,0.093328401,0.15214611
1,0.023672271,0,0.023672271,0,0.093328401,0,0.15214611,0,0,0,0,0,0,0,0,0,120,20,50,2,1,0.001,0.023672271,0.023672271,0.093328401,0.15214611
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,20,0,2,1,5.00E-05,0,0,0,0
1,0.209433985,0,0.209433985,0,0.215000114,0,0.36619627,0,0,0,0,0,0,0,0,0,120,20,1,2,1,5.00E-05,0.209433985,0.209433985,0.215000114,0.36619627
1,0.170646105,0,0.170646105,0,0.205656721,0,0.341067836,0,0,0,0,0,0,0,0,0,120,20,2,2,1,5.00E-05,0.170646105,0.170646105,0.205656721,0.341067836
1,0.17080683,0,0.17080683,0,0.20880281,0,0.341914249,0,0,0,0,0,0,0,0,0,120,20,3,2,1,5.00E-05,0.17080683,0.17080683,0.20880281,0.341914249
1,0.170516061,0,0.170516061,0,0.210108617,0,0.342388836,0,0,0,0,0,0,0,0,0,120,20,4,2,1,5.00E-05,0.170516061,0.170516061,0.210108617,0.342388836
1,0.170887177,0,0.170887177,0,0.211094025,0,0.342975371,0,0,0,0,0,0,0,0,0,120,20,5,2,1,5.00E-05,0.170887177,0.170887177,0.211094025,0.342975371
1,0.171132412,0,0.171132412,0,0.211790511,0,0.343893807,0,0,0,0,0,0,0,0,0,120,20,6,2,1,5.00E-05,0.171132412,0.171132412,0.211790511,0.343893807
1,0.175880413,0,0.175880413,0,0.216706721,0,0.346889853,0,0,0,0,0,0,0,0,0,120,20,7,2,1,5.00E-05,0.175880413,0.175880413,0.216706721,0.346889853
1,0.175274213,0,0.175274213,0,0.216565476,0,0.34671134,0,0,0,0,0,0,0,0,0,120,20,8,2,1,5.00E-05,0.175274213,0.175274213,0.216565476,0.34671134
1,0.17507896,0,0.17507896,0,0.216431611,0,0.346452293,0,0,0,0,0,0,0,0,0,120,20,9,2,1,5.00E-05,0.17507896,0.17507896,0.216431611,0.346452293
