episode_id,date,start_t,end_t,duration,user_id,hand,task_name,action_name,action_no
27,2022-11-16,15:46:38.852009,15:47:00.992351,00:00:22.140342,0,-,stack_tower,stack_green_small_block,3
28,2022-11-16,15:47:02,15:47:03,00:00:01,1,R,assemble_complex_box,hammer,0
29,2022-11-16,15:47:06,15:47:12,00:00:06,1,R,assemble_complex_box,hammer,0
30,2022-11-16,15:47:01.196626,15:47:15.59959,00:00:14.402964,0,-,assemble_complex_box,bring_hand_screw_parts,16
31,2022-11-16,15:47:18,15:47:25,00:00:07,1,R,assemble_complex_box,screw_in,0
32,2022-11-16,15:47:24.627461,15:47:35.062821,00:00:10.43536,0,-,stack_tower,remove_stack,4
33,2022-11-16,15:47:35.191082,15:47:40.382565,00:00:05.191483,0,-,,home,
34,2022-11-16,15:47:32,15:47:46,00:00:14,1,R,assemble_complex_box,screw_in,0
35,2022-11-16,15:47:51,15:47:59,00:00:08,1,R,assemble_complex_box,screw_in,0
36,2022-11-16,15:48:16,15:48:27,00:00:11,1,R,assemble_complex_box,screw_in,0
37,2022-11-16,15:48:28,15:48:29,00:00:01,1,R,assemble_complex_box,screw_in,0
38,2022-11-16,15:48:23,15:48:37,00:00:14,1,R,assemble_complex_box,allen_in,0
39,2022-11-16,15:48:47,15:48:50,00:00:03,1,R,assemble_complex_box,screw_in,0
40,2022-11-16,15:48:52,15:48:52,00:00:00,1,R,assemble_complex_box,screw_in,0
41,2022-11-16,15:48:54,15:48:54,00:00:00,1,R,assemble_complex_box,screw_in,0
42,2022-11-16,15:49:06,15:49:06,00:00:00,1,R,assemble_complex_box,screw_in,0
43,2022-11-16,15:48:49,15:49:08,00:00:19,1,R,assemble_complex_box,allen_in,0
44,2022-11-16,15:49:13,15:49:14,00:00:01,1,R,assemble_complex_box,hammer,0
45,2022-11-16,15:49:38,15:49:38,00:00:00,1,R,assemble_complex_box,screw_in,0
46,2022-11-16,15:49:39,15:49:39,00:00:00,1,R,assemble_complex_box,screw_in,0
47,2022-11-16,15:49:55,15:50:00,00:00:05,1,R,assemble_complex_box,screw_in,0
48,2022-11-16,15:50:03,15:50:04,00:00:01,1,R,assemble_complex_box,screw_in,0
49,2022-11-16,15:49:48,15:50:07,00:00:19,1,R,assemble_complex_box,hand_screw_in,0
50,2022-11-16,15:50:13,15:50:15,00:00:02,1,R,assemble_complex_box,allen_in,0
51,2022-11-16,15:50:32,15:50:35,00:00:03,1,R,assemble_complex_box,allen_in,0
52,2022-11-16,15:50:44,15:50:55,00:00:11,1,R,assemble_complex_box,hammer,0
53,2022-11-16,15:51:05,15:51:10,00:00:05,1,R,assemble_complex_box,screw_in,0
54,2022-11-16,15:50:56,15:51:11,00:00:15,1,R,assemble_complex_box,hammer,0
55,2022-11-16,15:51:13,15:51:14,00:00:01,1,R,assemble_complex_box,hammer,0
56,2022-11-16,15:51:19,15:51:21,00:00:02,1,R,assemble_complex_box,Left,0
57,2022-11-16,15:51:32,15:51:34,00:00:02,1,R,assemble_complex_box,allen_in,0
58,2022-11-16,15:51:20.495886,15:51:36.533871,00:00:16.037985,0,-,assemble_complex_box,deliver_box,27
59,2022-11-16,15:51:36.609346,15:51:41.461247,00:00:04.851901,0,-,,home,
60,2022-11-16,15:51:45,15:51:48,00:00:03,1,R,assemble_complex_box,allen_in,0
